date,code,name,foreign_net,trust_net,dealer_net,market
2025-09-11,00921,兆豐龍頭等權重,6000,0,0,TWSE
2025-09-11,00922,國泰台灣領袖50,663000,0,0,TWSE
2025-09-11,00923,群益台ESG低碳50,722238,0,0,TWSE
2025-09-11,00924,復華S&P500成長,810000,0,0,TWSE
2025-09-11,00926,凱基全球菁英55,40050,0,0,TWSE
2025-09-11,00927,群益半導體收益,552000,0,0,TWSE
2025-09-11,00929,復華台灣科技優息,1072189,0,0,TWSE
2025-09-11,00930,永豐ESG低碳高息,127000,0,0,TWSE
2025-09-11,00932,兆豐永續高息等權,36000,0,0,TWSE
2025-09-11,00934,中信成長高股息,1826000,0,0,TWSE
2025-09-11,00935,野村臺灣新科技50,200000,0,0,TWSE
2025-09-11,00936,台新永續高息中小,508000,0,0,TWSE
2025-09-11,00938,凱基優選30,43000,0,0,TWSE
2025-09-11,00939,統一台灣高息動能,2001000,0,0,TWSE
2025-09-11,00940,元大台灣價值高息,12157100,0,0,TWSE
2025-09-11,00941,中信上游半導體,4528000,0,0,TWSE
2025-09-11,00943,兆豐電子高息等權,3000,0,0,TWSE
2025-09-11,00944,野村趨勢動能高息,1990,0,0,TWSE
2025-09-11,00945B,凱基美國非投等債,735000,0,0,TWSE
2025-09-11,00946,群益科技高息成長,2817000,0,0,TWSE
2025-09-11,00947,台新臺灣IC設計,1168000,0,0,TWSE
2025-09-11,00949,復華日本龍頭,141000,0,0,TWSE
2025-09-11,00951,台新日本半導體,1093000,0,0,TWSE
2025-09-11,00952,凱基台灣AI50,428000,0,0,TWSE
2025-09-11,00953B,群益優選非投等債,6130000,6000000,0,TWSE
2025-09-11,00954,中信日本半導體,658000,0,0,TWSE
2025-09-11,00956,中信日經高股息,2000,0,0,TWSE
2025-09-11,00960,野村全球航運龍頭,8000,0,0,TWSE
2025-09-11,00961,FT臺灣永續高息,2597000,0,0,TWSE
2025-09-11,00962,台新AI優息動能,302000,0,0,TWSE
2025-09-11,00963,中信全球高股息,0,0,0,TWSE
2025-09-11,00964,中信亞太高股息,4000,0,0,TWSE
2025-09-11,00965,元大航太防衛科技,957120,0,0,TWSE
2025-09-11,00971,野村美國研發龍頭,9000,0,0,TWSE
2025-09-11,00972,野村日本動能高息,0,0,0,TWSE
2025-09-11,00980A,主動野村臺灣優選,59100,0,0,TWSE
2025-09-11,00981A,主動統一台股增長,359770,0,0,TWSE
2025-09-11,00982A,主動群益台灣強棒,1770075,0,0,TWSE
2025-09-11,00983A,主動中信ARK創新,317000,0,0,TWSE
2025-09-11,00984A,主動安聯台灣高息,33000,0,0,TWSE
2025-09-11,00985A,主動野村台灣50,117700,0,0,TWSE
2025-09-11,00985B,群益ESG投等債0-5,1500,0,0,TWSE
2025-09-11,00986A,主動台新龍頭成長,76000,0,0,TWSE
2025-09-11,01004T,土銀富邦R2,2000,0,0,TWSE
2025-09-11,01009T,王道圓滿R1,1000,0,0,TWSE
2025-09-11,01010T,京城樂富R1,0,0,0,TWSE
2025-09-11,02001L,富邦蘋果正二N,0,0,0,TWSE
2025-09-11,02001R,富邦蘋果反一N,0,0,0,TWSE
2025-09-11,1101,台泥,7061850,428000,0,TWSE
2025-09-11,1102,亞泥,717630,1021166,0,TWSE
2025-09-11,1103,嘉泥,114000,0,0,TWSE
2025-09-11,1104,環泥,1429854,0,0,TWSE
2025-09-11,1108,幸福,49000,0,0,TWSE
2025-09-11,1109,信大,1000,0,0,TWSE
2025-09-11,1110,東泥,15000,0,0,TWSE
2025-09-11,1201,味全,198000,0,0,TWSE
2025-09-11,1203,味王,4000,0,0,TWSE
2025-09-11,1210,大成,302000,49000,0,TWSE
2025-09-11,1213,大飲,9000,0,0,TWSE
2025-09-11,1215,卜蜂,89876,0,0,TWSE
2025-09-11,1216,統一,1103575,280264,0,TWSE
2025-09-11,1217,愛之味,17000,0,0,TWSE
2025-09-11,1218,泰山,878000,0,0,TWSE
2025-09-11,1219,福壽,4000,0,0,TWSE
2025-09-11,1220,台榮,64000,0,0,TWSE
2025-09-11,1225,福懋油,23000,0,0,TWSE
2025-09-11,1227,佳格,97000,0,0,TWSE
2025-09-11,1229,聯華,558974,0,0,TWSE
2025-09-11,1231,聯華食,70000,0,0,TWSE
2025-09-11,1232,大統益,13000,0,0,TWSE
2025-09-11,1233,天仁,5000,0,0,TWSE
2025-09-11,1234,黑松,111000,0,0,TWSE
2025-09-11,1235,興泰,1000,0,0,TWSE
2025-09-11,1236,宏亞,1000,0,0,TWSE
2025-09-11,1256,鮮活果汁-KY,15000,0,0,TWSE
2025-09-11,1301,台塑,3413737,134200,0,TWSE
2025-09-11,1303,南亞,682051,247851,0,TWSE
2025-09-11,1304,台聚,749000,0,0,TWSE
2025-09-11,1305,華夏,190000,0,0,TWSE
2025-09-11,1307,三芳,442000,8550,0,TWSE
2025-09-11,1308,亞聚,1189154,0,0,TWSE
2025-09-11,1309,台達化,387000,0,0,TWSE
2025-09-11,1310,台苯,156000,0,0,TWSE
2025-09-11,1312,國喬,1446000,0,0,TWSE
2025-09-11,1313,聯成,119000,0,0,TWSE
2025-09-11,1314,中石化,11539000,0,0,TWSE
2025-09-11,1315,達新,1000,0,0,TWSE
2025-09-11,1316,上曜,727000,0,0,TWSE
2025-09-11,1319,東陽,658220,1125073,0,TWSE
2025-09-11,1321,大洋,33000,0,0,TWSE
2025-09-11,1323,永裕,2000,0,0,TWSE
2025-09-11,1324,地球,9000,0,0,TWSE
2025-09-11,1325,恆大,47000,0,0,TWSE
2025-09-11,1326,台化,2560000,390000,0,TWSE
2025-09-11,1337,再生-KY,48950,0,0,TWSE
